route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000053,OCESN12273F2234873:2024-02-08T00:29:23Z,12273,1,80,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000054,OCESN12273F2567788:2024-01-30T00:44:05Z,12273,1,81,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000049,OCESN12273F2607504:2024-02-04T00:41:58Z,12273,1,82,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000055,OCESN12273F2607505:2024-01-27T00:45:59Z,12273,1,83,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000033,OCESN12273F2607541:2024-01-27T00:45:59Z,12273,1,84,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12273F2859340:2024-01-30T00:44:05Z,12273,1,85,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12273F2979187:2024-01-30T00:44:05Z,12273,1,86,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12274F2586031:2023-12-21T00:50:45Z,12274,0,87,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000056,OCESN12276F2586080:2024-02-08T00:29:23Z,12276,0,88,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000057,OCESN12276F2607864:2024-02-08T00:29:23Z,12276,0,89,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000058,OCESN12276F2918506:2024-01-10T00:41:00Z,12276,0,90,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000010,OCESN12295F2665494:2023-12-21T00:50:45Z,12295,1,91,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000059,OCESN12295F2665538:2024-02-06T00:30:41Z,12295,1,92,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000060,OCESN2050F2883684:2024-02-03T00:31:17Z,2050,,93,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000061,OCESN2050F2883685:2024-02-03T00:31:17Z,2050,,94,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000062,OCESN2061F2978676:2024-02-03T00:31:17Z,2061,1,95,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000063,OCESN2061F2994508:2024-02-07T00:29:39Z,2061,1,96,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000064,OCESN2061F2997108:2024-02-03T00:31:17Z,2061,1,97,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000011,OCESN2061F2999028:2024-02-03T00:31:17Z,2061,1,98,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000010,OCESN2061F3012869:2024-02-07T00:29:39Z,2061,1,99,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000065,OCESN2062F2993428:2024-02-03T00:31:17Z,2062,0,100,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000033,OCESN2062F3039135:2024-02-03T00:31:17Z,2062,0,101,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000066,OCESN2066F2542908:2024-02-04T00:41:58Z,2066,0,102,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000045,OCESN2070F3039046:2024-02-03T00:31:17Z,2070,0,103,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000064,OCESN2071F2686035:2024-02-03T00:31:17Z,2071,1,104,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000034,OCESN2071F2942248:2024-02-03T00:31:17Z,2071,1,105,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000067,OCESN2071F3018762:2024-02-03T00:31:17Z,2071,1,106,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000011,OCESN2074F2545605:2024-02-03T00:31:17Z,2074,0,107,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000068,OCESN2074F3041004:2024-02-03T00:31:17Z,2074,0,108,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000006,OCESN2077F2941260:2024-02-03T00:31:17Z,2077,1,109,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000036,OCESN2077F2993204:2024-02-03T00:31:17Z,2077,1,110,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000011,OCESN2086F3038717:2024-02-03T00:31:17Z,2086,0,111,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000012,OCESN2086F3039008:2024-02-03T00:31:17Z,2086,0,112,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000010,OCESN2086F3039009:2024-02-03T00:31:17Z,2086,0,113,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000069,OCESN2202F2573221:2024-02-06T00:30:41Z,2202,0,114,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000070,OCESN2202F2941903:2024-01-17T00:56:31Z,2202,0,115,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000071,OCESN2203F2584601:2023-10-18T00:42:09Z,2203,1,116,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000072,OCESN2203F3046031:2024-02-08T00:29:23Z,2203,1,117,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000073,OCESN2204F2666430:2024-02-07T00:29:39Z,2204,0,118,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000074,OCESN2204F2895637:2024-02-07T00:29:39Z,2204,0,119,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000006,OCESN2210F2653970:2024-02-06T00:30:41Z,2210,0,120,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000011,OCESN2214F2542962:2023-12-22T00:50:14Z,2214,0,121,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000075,OCESN2214F2982135:2024-01-11T00:47:22Z,2214,0,122,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000006,OCESN2223F1814416:2023-12-21T00:50:45Z,2223,1,123,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000010,OCESN2223F3017826:2024-02-06T00:30:41Z,2223,1,124,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000066,OCESN2223F3018702:2024-02-06T00:30:41Z,2223,1,125,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000066,OCESN2226F2940738:2024-02-06T00:30:41Z,2226,0,126,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000010,OCESN2226F2940739:2024-02-06T00:30:41Z,2226,0,127,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000064,OCESN2237F2545389:2023-12-22T00:50:14Z,2237,1,128,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000076,OCESN2237F2574456:2024-02-03T00:31:17Z,2237,1,129,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000077,OCESN2239F2853744:2024-02-03T00:31:17Z,2239,1,130,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000078,OCESN2239F2853745:2024-01-19T00:33:37Z,2239,1,131,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000032,OCESN2239F2853746:2024-01-19T00:33:37Z,2239,1,132,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000079,OCESN2239F2853943:2024-02-07T00:29:39Z,2239,1,133,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000033,OCESN2239F2853944:2024-01-12T00:36:54Z,2239,1,134,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000080,OCESN2239F2883661:2024-02-02T00:30:07Z,2239,1,135,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000034,OCESN2239F2883662:2024-02-04T00:41:58Z,2239,1,136,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000081,OCESN2242F2542601:2024-02-03T00:31:17Z,2242,0,137,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000082,OCESN2242F2542603:2024-02-06T00:30:41Z,2242,0,138,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000083,OCESN2242F2573631:2023-11-21T00:35:13Z,2242,0,139,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000084,OCESN2242F2646480:2024-02-03T00:31:17Z,2242,0,140,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000002,OCESN2242F2665223:2023-11-21T00:35:13Z,2242,0,141,
